id,region_id,name_en,name_gd,example_postcode
"S16000074","S17000014","Aberdeen Central","Obar Dheathain Meadhain","AB21DD"
"S16000075","S17000014","Aberdeen Donside","Obar Dheathain Oir Dheathain","AB242BQ"
"S16000076","S17000014","Aberdeen South and North Kincardine","Obar Dheathain a Deas agus Ceann Chàrdainn","AB123QA"
"S16000077","S17000014","Aberdeenshire East","Siorrachd Obar Dheathain an Ear","AB416SJ"
"S16000078","S17000014","Aberdeenshire West","Siorrachd Obar Dheathain an Iar","AB355RH"
"S16000079","S17000009","Airdrie and Shotts","An t-Àrd-Ruigh agus Shotts","ML69TZ"
"S16000080","S17000012","Almond Valley","Srath Amain","EH530ND"
"S16000081","S17000014","Angus North and Mearns","Aonghas a Tuath agus a’ Mhaoirne","DD108AL"
"S16000082","S17000014","Angus South","Aonghas a Deas","DD53UX"
"S16000083","S17000011","Argyll and Bute","Earra-Ghàidheal agus Bòd","PA238DJ"
"S16000084","S17000015","Ayr","Inbhir Àir","KA71EP"
"S16000085","S17000014","Banffshire and Buchan Coast","Siorrachd Bhanbh agus Oirthir Bhùchainn","AB545UH"
"S16000086","S17000011","Caithness, Sutherland and Ross","Gallaibh, Cataibh agus Ros","KW96ND"
"S16000087","S17000015","Carrick, Cumnock and Doon Valley","Carraig, Cumnaig agus Srath Dhùn","KA182HX"
"S16000088","S17000013","Clackmannanshire and Dunblane","Siorrachd Chlach Mhanann agus Dùn Bhlàthain","FK94LJ"
"S16000089","S17000018","Clydebank and Milngavie","Bruach Chluaidh agus Muileann-Gaidh","G813QX"
"S16000090","S17000015","Clydesdale","Dail Chluaidh","ML85UQ"
"S16000091","S17000009","Coatbridge and Chryston","Coatbridge agus Chryston","G336AQ"
"S16000092","S17000013","Cowdenbeath","Cowdenbeath","KY119XF"
"S16000093","S17000009","Cumbernauld and Kilsyth","Comar nan Allt agus Cill Saidh","G659AP"
"S16000094","S17000018","Cunninghame North","Coineagan a Tuath","KA215JQ"
"S16000095","S17000018","Cunninghame South","Coineagan a Deas","KA128QR"
"S16000096","S17000018","Dumbarton","Dùn Breatann","G849EQ"
"S16000097","S17000015","Dumfriesshire","Siorrachd Dhùn Phris","DG46JW"
"S16000098","S17000014","Dundee City East","Baile Dhùn Dè an Ear","DD48TR"
"S16000099","S17000014","Dundee City West","Baile Dhùn Dè an Iar","DD39QG"
"S16000100","S17000013","Dunfermline","Dùn Phàrlain","KY129LG"
"S16000101","S17000009","East Kilbride","Cille Bhrìghde an Ear","G743QZ"
"S16000102","S17000015","East Lothian","Lodainn an Ear","EH414NL"
"S16000103","S17000018","Eastwood","A' Choille Shear","G775LW"
"S16000104","S17000012","Edinburgh Central","Dùn Èideann Meadhain","EH35EF"
"S16000105","S17000012","Edinburgh Eastern","Dùn Èideann an Ear","EH79AB"
"S16000106","S17000012","Edinburgh Northern and Leith","Dùn Èideann a Tuath agus Lìte","EH66AD"
"S16000107","S17000012","Edinburgh Pentlands","Dùn Èideann Pentlands","EH114JN"
"S16000108","S17000012","Edinburgh Southern","Dùn Èideann a Deas","EH165NL"
"S16000109","S17000012","Edinburgh Western","Dùn Èideann an Iar","EH121EZ"
