id,constituency_id
"CF101AA","W09000053"
"CF101AB","W09000053"
"CF101AD","W09000053"
"CF101AE","W09000053"
"CF101AF","W09000053"
"CF101AG","W09000053"
"CF101AH","W09000053"
"CF101AJ","W09000053"
"CF101AL","W09000053"
"CF101AN","W09000053"
"CF101AP","W09000053"
"CF101AQ","W09000053"
"CF101AR","W09000053"
"CF101AS","W09000053"
"CF101AT","W09000053"
"CF101AU","W09000053"
"CF101AW","W09000053"
"CF101AX","W09000053"
"CF101AY","W09000053"
"CF101AZ","W09000053"
"CF101BA","W09000053"
"CF101BB","W09000053"
"CF101BD","W09000053"
"CF101BE","W09000053"
"CF101BF","W09000053"
"CF101BG","W09000053"
"CF101BH","W09000053"
"CF101BJ","W09000053"
"CF101BL","W09000053"
"CF101BN","W09000053"
"CF101BP","W09000053"
"CF101BQ","W09000053"
"CF101BR","W09000053"
"CF101BS","W09000053"
"CF101BT","W09000053"
"CF101BU","W09000053"
"CF101BW","W09000053"
"CF101BX","W09000053"
"CF101BY","W09000053"
"CF101BZ","W09000053"
"CF101DA","W09000053"
"CF101DB","W09000053"
"CF101DD","W09000053"
"CF101DE","W09000053"
"CF101DF","W09000053"
"CF101DG","W09000053"
"CF101DH","W09000053"
"CF101DJ","W09000053"
"CF101DL","W09000053"
"CF101DN","W09000053"
"CF101DP","W09000053"
"CF101DS","W09000053"
"CF101DT","W09000053"
"CF101DU","W09000053"
"CF101DW","W09000053"
"CF101DX","W09000053"
"CF101DY","W09000053"
"CF101DZ","W09000053"
"CF101EA","W09000053"
"CF101EB","W09000053"
"CF101ED","W09000053"
"CF101EE","W09000053"
"CF101EF","W09000053"
"CF101EG","W09000053"
"CF101EH","W09000053"
"CF101EJ","W09000053"
"CF101EL","W09000053"
"CF101EN","W09000053"
"CF101EP","W09000053"
"CF101EQ","W09000053"
"CF101ER","W09000053"
"CF101ES","W09000053"
"CF101ET","W09000053"
"CF101EU","W09000053"
"CF101EW","W09000053"
"CF101EX","W09000053"
"CF101EY","W09000053"
"CF101EZ","W09000053"
"CF101FA","W09000053"
"CF101FD","W09000053"
"CF101FE","W09000053"
"CF101FF","W09000053"
"CF101FG","W09000053"
"CF101FH","W09000053"
"CF101FJ","W09000053"
"CF101FL","W09000053"
"CF101FN","W09000053"
"CF101FP","W09000053"
"CF101FQ","W09000053"
"CF101FR","W09000053"
"CF101FS","W09000053"
"CF101FT","W09000053"
"CF101FW","W09000053"
"CF101FX","W09000053"
"CF101FY","W09000053"
"CF101FZ","W09000053"
"CF101GA","W09000053"
"CF101GB","W09000053"
"CF101GD","W09000053"
"CF101GE","W09000053"
"CF101GF","W09000053"
"CF101GG","W09000053"
"CF101GH","W09000053"
"CF101GJ","W09000053"
"CF101GL","W09000053"
"CF101GN","W09000053"
"CF101GP","W09000053"
"CF101GR","W09000053"
"CF101GS","W09000053"
"CF101HE","W09000053"
"CF101JA","W09000053"
"CF101JD","W09000053"
"CF101JE","W09000053"
"CF101JJ","W09000053"
"CF101JL","W09000053"
"CF101LA","W09000053"
"CF101LF","W09000053"
"CF101LG","W09000053"
"CF101LL","W09000053"
"CF101NA","W09000053"
"CF101NG","W09000053"
"CF101NL","W09000053"
"CF101NQ","W09000053"
"CF101NS","W09000053"
"CF101NT","W09000053"
"CF101NW","W09000053"
"CF101NX","W09000053"
"CF101PA","W09000053"
"CF101PD","W09000053"
"CF101PF","W09000053"
"CF101PG","W09000053"
"CF101PH","W09000053"
"CF101PL","W09000053"
"CF101PN","W09000053"
"CF101PP","W09000053"
"CF101PR","W09000053"
"CF101PS","W09000053"
"CF101PT","W09000053"
"CF101PU","W09000053"
"CF101PW","W09000053"
"CF101PX","W09000053"
"CF101PY","W09000053"
"CF101PZ","W09000053"
"CF101QA","W09000053"
"CF101QR","W09000053"
"CF101QX","W09000053"
"CF101QZ","W09000053"
"CF101RE","W09000053"
"CF101RF","W09000053"
"CF101RG","W09000053"
"CF101RH","W09000053"
"CF101RJ","W09000053"
"CF101RU","W09000053"
"CF101SA","W09000053"
"CF101SF","W09000053"
"CF101SG","W09000053"
"CF101SH","W09000053"
"CF101SJ","W09000053"
"CF101SL","W09000053"
"CF101SP","W09000053"
"CF101SS","W09000053"
"CF101ST","W09000053"
"CF101SW","W09000053"
"CF101SX","W09000053"
"CF101SZ","W09000053"
"CF101TA","W09000053"
"CF101TB","W09000053"
"CF101TD","W09000053"
"CF101TE","W09000053"
"CF101TL","W09000053"
"CF101TP","W09000053"
"CF101TR","W09000053"
"CF101TT","W09000053"
"CF101TX","W09000053"
"CF101TZ","W09000053"
"CF101UA","W09000053"
"CF101UB","W09000053"
"CF101UD","W09000053"
"CF101UE","W09000053"
"CF101UG","W09000053"
"CF101UH","W09000053"
"CF101UJ","W09000053"
"CF101UL","W09000053"
"CF101UN","W09000053"
"CF101UP","W09000053"
"CF101UR","W09000053"
"CF101US","W09000053"
"CF101UU","W09000053"
"CF101UW","W09000053"
"CF101UX","W09000053"
"CF101WA","W09000053"
"CF101WB","W09000053"
"CF101WD","W09000053"
"CF101WE","W09000053"
"CF101WF","W09000053"
"CF101WJ","W09000053"
"CF101WQ","W09000053"
"CF101WW","W09000053"
"CF101WX","W09000053"
"CF101XA","W09000053"
"CF101XB","W09000053"
"CF101XD","W09000053"
"CF101XE","W09000053"
"CF101XF","W09000053"
"CF101XG","W09000053"
"CF101XH","W09000053"
"CF101XJ","W09000053"
"CF101XL","W09000053"
"CF101XQ","W09000053"
"CF101XR","W09000053"
"CF101XS","W09000053"
"CF101XT","W09000053"
"CF101XU","W09000053"
"CF101XX","W09000053"
"CF101XY","W09000053"
"CF101XZ","W09000053"
"CF101YA","W09000053"
"CF101YB","W09000053"
"CF101YD","W09000053"
"CF101YE","W09000053"
"CF101YF","W09000053"
"CF101YG","W09000053"
"CF101YH","W09000053"
"CF101YJ","W09000053"
"CF101YL","W09000053"
"CF101YN","W09000053"
"CF101YP","W09000053"
